,Unnamed: 0,Majority.protein.IDs,Protein.names,Gene.names,L3_4.old.L.OAF,L3_4.old.A.OAF,L3_4.old.P.OAF,L3_4.old.R.OAF,L3_4.old.L.IAF,L3_4.old.R.IAF,L3_4.old.L.IAF_NP,L3_4.old.A.IAF_NP,L3_4.old.P.IAF_NP,L3_4.old.R.IAF_NP,L3_4.old.NP,L3_4.Young.L.OAF,L3_4.young.A.OAF,L3_4.young.P.OAF,L3_4.young.R.OAF,L3_4.young.L.IAF,L3_4.young.R.IAF,L3_4.young.L.IAF_NP,L3_4.young.A.IAF_NP,L3_4.young.P.IAF_NP,L3_4.young.R.IAF_NP,L3_4.young.NP,L4_5.old.L.OAF,L4_5.old.A.OAF,L4_5.old.P.OAF,L4_5.old.R.OAF,L4_5.old.L.IAF,L4_5.old.R.IAF,L4_5.old.L.IAF_NP,L4_5.old.A.IAF_NP,L4_5.old.P.IAF_NP,L4_5.old.R.IAF_NP,L4_5.old.NP,L4_5.young.L.OAF,L4_5.young.A.OAF,L4_5.young.P.OAF,L4_5.young.R.OAF,L4_5.young.L.IAF,L4_5.young.R.IAF,L4_5.young.L.IAF_NP,L4_5.young.A.IAF_NP,L4_5.young.P.IAF_NP,L4_5.young.R.IAF_NP,L4_5.young.NP,L5_S1.old.L.OAF,L5_S1.old.A.OAF,L5_S1.old.P.OAF,L5_S1.old.R.OAF,L5_S1.old.L.IAF,L5_S1.old.R.IAF,L5_S1.old.L.IAF_NP,L5_S1.old.A.IAF_NP,L5_S1.old.P.IAF_NP,L5_S1.old.R.IAF_NP,L5_S1.old.NP,L5_S1.young.L.OAF,L5_S1.young.A.OAF,L5_S1.young.P.OAF,L5_S1.young.R.OAF,L5_S1.young.L.IAF,L5_S1.young.R.IAF,L5_S1.young.L.IAF_NP,L5_S1.young.A.IAF_NP,L5_S1.young.P.IAF_NP,L5_S1.young.R.IAF_NP,L5_S1.young.NP,Type
10,11,P01023,Alpha-2-macroglobulin,A2M,33.6015,34.3586,34.6479,32.6631,36.0586,35.5461,35.9688,35.4342,35.6026,35.6967,36.4617,34.663000000000004,31.1676,30.9001,29.47,32.8458,32.1233,33.3741,32.9226,32.9452,33.6437,33.6599,32.7763,32.9366,34.0016,33.7506,33.6118,34.6625,35.7765,35.2943,35.8391,35.2778,36.514,27.7705,31.3476,31.0868,30.063000000000002,31.4378,30.7234,32.7164,32.6637,32.3676,32.457,32.8359,32.382,32.9286,34.8314,33.3616,33.1757,33.8136,35.7851,36.8816,35.5609,35.8581,36.6659,32.258,31.4653,31.8045,33.0063,30.4356,31.9771,32.1119,31.9836,33.1997,32.9259,32.9544,NABA_ECM_REGULATORS
11,12,Q9NPC4,Lactosylceramide 4-alpha-galactosyltransferase,A4GALT,,,,,,,,,,,,,,,,,,,,,,,,24.3215,,25.9067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
12,13,Q9H7C9,Mth938 domain-containing protein,AAMDC,25.7331,23.7653,26.6862,26.8798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7944,,,,,,,,,,28.0592,,,,,,,,,nonMatrisome
13,14,P49588,"Alanine--tRNA ligase, cytoplasmic",AARS,25.2875,26.1908,24.447,25.0429,,,,,,,,23.8709,,25.1567,,,,,,,,,25.0184,,,,,,,,,,,24.5249,,,,,,,,,,,24.4361,24.544,25.1809,25.0114,,,,,,,,24.9591,25.1713,,25.8352,,,,,,,,nonMatrisome
14,15,Q9NP58,"ATP-binding cassette sub-family B member 6, mitochondrial",ABCB6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2727,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
15,16,P61221,ATP-binding cassette sub-family E member 1,ABCE1,,24.0724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5237,,,,nonMatrisome
16,17,Q8NE71,ATP-binding cassette sub-family F member 1,ABCF1,,,,24.1126,,,,,,,,,24.6933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7534,,,,,,,,,,,,,,,,,,,nonMatrisome
17,18,Q9NUJ1,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial",ABHD10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3432,,,,,,,,,,,,,,,,,,,nonMatrisome
18,19,Q96IU4,Alpha/beta hydrolase domain-containing protein 14B,ABHD14B,26.2489,27.0224,,26.1964,,,,,,,,,,,,,,,,,,,25.5662,,,,,,,25.2856,,,,,,,,,,,,,,,,,,24.9427,,,,,,,,24.906999999999996,,,,,,,,,,,nonMatrisome
19,20,Q8IZP0,Abl interactor 1,ABI1,,24.0309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0151,,,,,,,,,,,,,,,,,,,nonMatrisome
20,21,Q7Z7G0,Target of Nesh-SH3,ABI3BP,33.9966,33.2697,34.1499,32.7407,36.5246,34.1197,34.9045,34.3299,34.792,35.5505,34.713,37.4418,37.6356,37.5906,37.5065,37.7849,38.2952,37.3858,36.8597,37.1398,37.3076,37.4212,34.6481,35.5882,32.9268,35.8205,36.5326,36.6903,35.2561,35.5518,33.8788,35.773,34.4203,36.9189,37.5614,37.2784,37.3547,37.7747,37.4838,37.0737,36.6717,36.7782,37.4993,36.6651,36.677,36.5516,36.3769,34.81,35.7365,36.391999999999996,36.3658,37.3267,35.8926,36.3926,36.6425,37.0286,36.6931,37.5627,37.9592,37.2654,37.4853,37.3568,36.8565,37.273,37.346,36.9625,NABA_ECM_GLYCOPROTEINS
21,22,Q6H8Q1,Actin-binding LIM protein 2,ABLIM2,,,,23.6606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
22,23,Q9P1F3,Costars family protein ABRACL,ABRACL,,,,24.4568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
23,24,P09110,"3-ketoacyl-CoA thiolase, peroxisomal",ACAA1,,,,23.0781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
24,25,P42765,"3-ketoacyl-CoA thiolase, mitochondrial",ACAA2,28.764,26.4663,,28.5937,,24.0107,,,,,,25.0601,,,23.6735,,,,,,24.7563,,24.5226,,,23.6113,,24.1384,,,,,,24.6733,,,,,,,,24.1067,,24.3676,,,24.3568,24.2065,,,,,,,,25.3922,,,,,,,,,,,nonMatrisome
25,26,P11310,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADM,25.7093,,,26.9483,,,,,,,25.9109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
26,27,P16219,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.805999999999997,,,,,,,,nonMatrisome
27,28,P49748,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADVL,28.7379,28.7273,26.3753,29.0956,24.3058,25.058000000000003,25.3702,,28.0228,25.0059,25.256999999999998,,24.5632,,,,,27.0288,,27.174,29.2791,,26.6725,27.0329,,28.6919,,,25.2071,,,,,27.1549,23.5689,,25.704,,27.369,27.2688,,25.3254,,28.2435,25.3605,25.5851,,25.9835,,,,25.9409,,,,26.6572,27.7307,28.1495,26.9766,,25.8664,26.3511,26.9116,,,,nonMatrisome
28,29,P16112,Aggrecan core protein;Aggrecan core protein 2,ACAN,37.5598,35.0118,37.1545,33.6426,38.6397,38.2389,37.9816,36.9034,36.8676,38.1517,37.3354,39.6422,39.7689,39.4926,39.219,40.5669,40.0424,39.7046,39.5979,39.715,39.9502,40.1129,38.6394,39.1977,37.9718,38.7288,39.6353,39.3382,37.9623,38.6378,36.5932,38.3607,36.6753,38.041,39.7391,39.2447,38.9589,39.7216,39.2533,39.5044,39.7984,39.5437,39.7132,39.3513,39.653,39.4585,38.7107,37.591,39.0391,39.2694,39.0265,40.5124,38.5164,39.2785,39.3095,38.7484,39.3185,39.7259,39.5644,39.2094,39.2891,39.0336,39.1883,39.5521,39.5761,39.2537,NABA_PROTEOGLYCANS
29,30,P24752,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,29.8083,27.3054,29.0999,29.9123,28.7422,28.2172,28.9043,,,,28.3632,29.7432,31.3444,,31.0348,,30.3156,27.8987,,,,29.6943,28.3288,,29.6831,28.2108,29.5281,,28.5533,,28.361,,27.9818,29.4556,,,28.8021,,,,,,,,28.5217,29.5038,28.9714,29.2217,,,,29.4498,,,29.1973,28.8232,,29.1489,,,,,,,,,nonMatrisome
30,31,Q9H3P7,Golgi resident protein GCP60,ACBD3,24.2684,24.8718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
31,32,Q9UKV3,Apoptotic chromatin condensation inducer in the nucleus,ACIN1,,23.5663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
32,33,P53396,ATP-citrate synthase,ACLY,24.7476,25.6165,25.8724,25.0354,25.1447,25.6099,27.3668,26.6664,,,26.6064,26.3924,25.3739,26.5772,26.0838,26.2177,,,,,,,24.9099,26.349,27.2654,,,,,26.8953,25.8912,,27.0077,26.6559,25.1563,,,25.8271,,,,27.8265,,,27.8419,27.2388,25.8552,24.8031,,,,26.2246,27.0259,,27.8163,25.9417,26.3153,25.4803,26.0355,,,,,,,,nonMatrisome
33,34,P21399,Cytoplasmic aconitate hydratase,ACO1,29.5032,29.0979,25.4002,29.6553,23.9975,26.1598,27.226999999999997,25.6025,,,,,25.6627,,,25.3569,,,,,,,27.3182,,25.018,,,,,,,,,,,,,,,,,,,,25.6824,25.9527,,27.5802,,,26.8382,25.9911,,,,25.9342,,26.2351,,,,,26.389,,,,nonMatrisome
34,35,Q99798,"Aconitate hydratase, mitochondrial",ACO2,30.8881,28.4835,,31.3959,22.3475,22.294,22.2061,,,,,23.9385,26.0981,23.951999999999998,26.0675,22.656,22.1988,22.9509,25.0075,24.8372,,24.76,26.4367,22.6231,,24.2362,24.6782,,22.6909,22.1906,,,,27.1387,22.563000000000002,,26.3687,24.2207,,23.021,,,,23.6134,24.1533,25.1055,22.7807,26.1007,,,23.7231,,,,,26.6213,24.9193,24.987,23.0355,,23.748,21.4115,,,,23.0502,nonMatrisome
35,36,Q9Y305,"Acyl-coenzyme A thioesterase 9, mitochondrial",ACOT9,,24.4022,,25.1683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
36,37,P24666,Low molecular weight phosphotyrosine protein phosphatase,ACP1,26.4153,25.9787,,27.3784,,,,,,,,,,,,,25.6249,,,,,,26.7093,,26.3854,,,,,,,,,,,,,,,,,,,,,,,26.1331,,,,,,,,26.545,,,26.2875,,,,,,,,nonMatrisome
37,38,P33121,Long-chain-fatty-acid--CoA ligase 1,ACSL1,25.5775,,,25.2399,,,,,,,,,24.5383,,,,,,,,,,,,,,,,,,,,,25.1727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
38,39,O95573;O60488,Long-chain-fatty-acid--CoA ligase 3;Long-chain-fatty-acid--CoA ligase 4,ACSL3;ACSL4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1945,,,,,,,,,,,,,,,,
39,40,P68133,"Actin, alpha skeletal muscle",ACTA1,31.541,28.9331,28.4826,31.381999999999998,27.9013,27.548000000000002,27.3085,,,25.4805,27.1924,26.6656,28.467,27.7433,27.9574,28.5622,28.7006,27.5179,29.8915,27.1074,26.7552,28.1698,29.8707,28.4347,28.9247,26.7591,27.0384,27.7281,26.6798,28.2185,28.4675,27.5233,27.551,29.9791,28.7715,26.9284,28.3452,29.0337,27.1542,29.6767,23.8801,29.7657,,,26.6377,29.4151,26.2948,29.1999,,28.018,,,,,,29.1742,27.5789,,27.8461,,,,,,,,nonMatrisome
40,41,P62736;P63267,"Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle",ACTA2;ACTG2,35.57,33.8646,31.6667,35.7879,30.4742,31.0279,29.555,30.6663,30.6396,30.2545,29.3088,31.9187,33.0749,32.6476,32.4174,32.2922,32.5953,32.8463,33.4856,32.1492,32.1077,33.0764,33.2849,31.4722,32.1181,31.3703,31.0087,30.3963,29.8961,30.5032,30.8498,29.0454,31.1434,34.287,32.0852,31.5181,33.9348,33.2351,31.668000000000003,32.1203,31.4375,33.9595,31.0831,31.0989,31.8535,32.9186,31.4766,33.2415,31.1849,29.9364,30.0569,29.947,30.416,30.2485,30.4654,34.4515,33.1603,32.6346,32.2142,30.9268,30.616,31.2458,31.6381,32.0857,31.1574,31.5497,
41,42,P60709,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed",ACTB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7793,,,,,,,,,,,nonMatrisome
42,43,Q562R1,Beta-actin-like protein 2,ACTBL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4436,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
43,44,P63261,"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed",ACTG1,33.945,34.7583,32.1321,33.5913,30.878,31.7891,29.845,31.2105,30.9644,30.3899,29.8628,31.6282,33.2665,32.3088,32.1476,32.1413,31.279,31.7948,31.2983,32.0967,31.5097,31.6194,33.5845,31.9306,32.2837,31.5037,30.8422,31.1969,30.2302,30.1296,31.8766,29.5086,30.7139,32.6574,32.1477,32.2042,33.185,31.7317,31.0778,30.2216,31.188000000000002,31.5815,30.6264,30.5733,31.8541,33.0975,32.0865,33.9452,31.4044,30.5862,30.6026,30.1393,30.5156,30.3156,30.9478,33.1779,33.5318,32.5661,32.8912,31.5111,30.7268,30.0937,31.5839,31.0117,30.8568,31.6131,nonMatrisome
44,45,O96019,Actin-like protein 6A,ACTL6A,,24.5441,,24.8547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
45,46,P12814,Alpha-actinin-1,ACTN1,30.2948,31.1737,25.205,30.1425,25.6696,25.518,24.3631,24.1896,24.0295,25.09,22.5895,27.6156,29.6552,28.5009,28.7441,27.0692,26.403000000000002,26.6432,,25.6075,27.2199,27.2733,30.1336,27.4241,27.6613,24.5921,25.7461,25.6033,24.8748,25.2687,24.4928,,24.1769,29.2865,28.7788,28.8131,28.5496,26.8202,24.311999999999998,27.4737,,24.2268,24.8129,,26.3705,27.9711,26.7754,30.5679,25.6371,23.3337,25.2934,25.0083,,,,30.1611,30.2495,28.404,28.3341,24.232,26.3539,27.6911,27.6767,26.2044,27.326999999999998,25.4571,nonMatrisome
46,47,P35609,Alpha-actinin-2,ACTN2,33.4129,30.3057,27.5341,33.6533,28.0694,27.6571,28.5322,26.8287,27.0484,27.8168,25.6929,28.5507,29.195,27.671999999999997,28.8404,29.0584,28.9902,29.811,30.5603,28.5313,28.4135,29.2605,29.2636,27.765,28.741,27.6319,27.1728,27.5971,27.3456,27.596999999999998,27.8398,27.5802,27.4121,31.3704,28.3867,27.4803,29.5873,29.8574,23.9912,28.8345,25.9328,29.8565,23.5509,26.7379,27.4569,28.5151,28.5587,28.8881,26.3329,24.0283,25.8323,27.7121,26.2407,24.5055,27.5084,30.4518,29.0833,27.8959,23.7651,24.2026,24.587,26.135,27.0442,27.225,26.854,,nonMatrisome
47,48,Q08043,Alpha-actinin-3,ACTN3,32.3969,24.035,27.95,32.2475,,22.7425,,,24.8112,25.6926,23.5093,24.1586,24.1758,,23.2401,26.1293,26.651999999999997,25.8403,25.3882,,,,23.3333,24.8817,28.0863,24.5299,24.5145,,24.6635,26.4823,28.5841,,25.5521,27.1759,25.2937,,,,23.7085,,,26.5776,,,23.8548,24.9123,28.6624,,23.6703,,,25.2504,,25.2626,,27.3496,,,,,,,,,,,nonMatrisome
48,49,O43707,Alpha-actinin-4,ACTN4,30.9072,31.3415,28.5226,31.0519,27.9006,27.6465,26.7226,24.4865,26.0883,25.1948,,28.8517,30.3947,29.5975,29.3936,29.6927,28.8036,29.267,28.2882,28.0537,28.8004,29.5576,30.397,28.8337,29.3957,29.5452,27.4777,25.943,27.813000000000002,25.0728,26.2357,,,30.5236,29.8394,28.7357,29.5152,27.9804,29.28,27.136,29.816999999999997,27.9792,26.3529,28.5844,26.4257,29.7075,28.8919,30.6835,28.3286,28.6142,27.9234,27.901,26.5178,26.4184,24.3506,30.7723,30.349,29.1913,28.7857,26.846999999999998,25.8355,27.9261,28.0081,25.5551,29.1657,27.3246,nonMatrisome
49,50,Q9NZ32,Actin-related protein 10,ACTR10,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
50,51,P61163,Alpha-centractin,ACTR1A,26.3801,27.0471,,27.2214,24.0546,25.1912,,,,,,,25.9939,,,,,,,,,24.6463,26.2866,,,,,,,,,,,26.6241,25.311999999999998,,,,,,,,,,,25.5888,,26.5651,,,,,,,,25.9286,,,,,,,,,,,nonMatrisome
51,52,P42025,Beta-centractin,ACTR1B,,,,24.8423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
52,53,P61160,Actin-related protein 2,ACTR2,27.5487,28.2838,26.7287,26.4819,,,,,,,,,27.5305,28.1979,27.8618,,26.1298,,,,27.5461,,25.8165,26.2101,28.092,28.3945,,,,,,,,27.5166,26.6473,,28.2613,,26.5902,,,,,,28.3319,,27.6222,27.4782,,,,26.413,,,,27.5797,26.7534,27.6534,28.2674,,,26.6414,,,,,nonMatrisome
53,54,P61158,Actin-related protein 3,ACTR3,26.4851,28.9812,25.766,27.2486,,25.8457,26.8087,,25.0751,26.0768,26.5132,25.7649,27.0234,,26.4508,,26.8741,26.3365,,,26.8833,,27.209,25.9015,27.3048,27.1242,,,,25.2276,,,26.8676,27.1536,26.0576,28.3601,27.6657,25.8127,,,,,,,,27.5872,27.1767,27.4432,,,,26.0488,,,28.3193,27.756,27.9786,,27.3867,,,,,,,,nonMatrisome
54,55,Q03154,Aminoacylase-1,ACY1,,,,24.6804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
55,56,P14621,Acylphosphatase-2,ACYP2,24.3802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
56,57,P00813,Adenosine deaminase,ADA,,23.0788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
57,58,O14672,Disintegrin and metalloproteinase domain-containing protein 10,ADAM10,,23.8397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NABA_ECM_REGULATORS
58,59,O43184,Disintegrin and metalloproteinase domain-containing protein 12,ADAM12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5897,,,,,,,,,,,,,,,,,,,,NABA_ECM_REGULATORS
59,60,Q13444,Disintegrin and metalloproteinase domain-containing protein 15,ADAM15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8484,,,,,,,,,,,,,,,,,,,,,,,NABA_ECM_REGULATORS
60,61,P78536,Disintegrin and metalloproteinase domain-containing protein 17,ADAM17,,,,,,,,,,,,,,,,23.5727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NABA_ECM_REGULATORS
61,62,Q9UHI8,A disintegrin and metalloproteinase with thrombospondin motifs 1,ADAMTS1,,,23.9524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NABA_ECM_REGULATORS
62,63,Q8TE57,A disintegrin and metalloproteinase with thrombospondin motifs 16,ADAMTS16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4342,NABA_ECM_REGULATORS
63,64,O95450,A disintegrin and metalloproteinase with thrombospondin motifs 2,ADAMTS2,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NABA_ECM_REGULATORS
64,65,Q86TH1,ADAMTS-like protein 2,ADAMTSL2,,24.8391,,,,24.2013,25.9501,,24.9802,25.4077,26.5894,,,,,24.8224,,,,,,,,,,,25.5082,,25.7321,26.1113,25.0968,26.9009,25.8703,,,,,,,25.4403,,,,,,,,,,,,,,,,,,,,,,,,,,,NABA_ECM_REGULATORS
65,66,P82987,ADAMTS-like protein 3,ADAMTSL3,,,,,,,,,,,,,,,,,,,,,,,,24.081999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NABA_ECM_REGULATORS
66,67,Q6UY14,ADAMTS-like protein 4,ADAMTSL4,24.2515,24.6116,,24.4126,,,,,,,,22.6508,23.9918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NABA_ECM_REGULATORS
67,68,P55265,Double-stranded RNA-specific adenosine deaminase,ADAR,,,,19.8042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
68,69,P35611,Alpha-adducin,ADD1,25.5024,25.5819,,25.4139,,,,,,,,,,,,,,,,,,,24.8546,,,,,,,,,,,,,,,,,,,,,,,,,25.1797,,,,,,,,,,,,,,,,,,,nonMatrisome
